"","x"
"age",0.250803704815213
"hukou",0.0784071783945723
"gender",0.0611765569389261
"edu",0.0568192671773343
"friend",0.0555765284630186
"tongzhu",0.0537830471361773
"yibaonum",0.0516906686659479
"fudan",0.0410579038282383
"zipingxf",0.04072123729507
"kanbing",0.037348592107263
"phone",0.0344888540868786
"juzhu",0.0332213236496106
"exercise",0.0307731806522507
"hunyin",0.030087919761277
"zipingjj",0.0295833170028254
"gudu",0.0292571389604651
"zipingdj",0.0279360031847077
"zipingsh",0.0214855803244484
"baoxiannum",0.0209858072893383
"same",0.0147961902664374
